headline,category
arrested in fake appeal case,declarative
Chasing cutlets,np_drop
,qws
A clean and artful start to,frag
students killed as truck runs over them,declarative
Fading bull,np_drop
Most times  the callers just want to be heard,qws
stalls to be sealed for not paying bills,declarative
Riding with the ladies,np_drop
One in   rape cases led to conviction,qws
The buzz at daybreak,frag
face demolition in Navi Mumbai,declarative
Retelling Telugu glory and origins,np_drop
Act against errant pvt  developers,qws
Love in the time of rage,frag
hotels in Thane get    day ultimatum,declarative
Gripping narrative on Shiva,np_drop
We expect Indian aid on Rohingya issue,qws
The padwomen of kerala,frag
fishing boats to be equipped with NAVIC sets,declarative
Engaging recital,np_drop
Joban has never been to UK or Australia,qws
Perungudi lake festival on feb,frag
months into the job  Vigilance Commissioner transferred,declarative
Saying it in verse,np_drop
It was like a Karan Johar launch for me,qws
ramanathapuram,frag
pelican signals on anvil,declarative
Celebrating classical theatre,np_drop
My characters are like my children,qws
rasipuram,frag
arrested for death of labourers in STP,declarative
Taking Carnatic music to global audience,np_drop
I pretended I was home  cooking,qws
tiruchengode,frag
of buses operated in Salem  says Collector,declarative
Aiming for a long shelf life,np_drop
Gender discrimination is ingrained in us,qws
salem,frag
Aaryan  Samit shine,declarative
Delineating the traditions,np_drop
On NRC  claimants will get second chance,qws
bengaluru,frag
ACB files case against R  Ashok,declarative
Inviting applications for change award,np_drop
Safe disposal crucial,qws
udhagamandalam,frag
A dream that changed her life,declarative
Jamming with the rock  n  roll greats,np_drop
File I T returns before March,qws
kancheepuram,frag
Adventure water sports,declarative
Rediscovering lost traditions,np_drop
Directive on quota against SC judgment,qws
kodaikanal,frag
A great learning curve  Senthilnathan,declarative
Going for gowns,np_drop
Efforts being stepped up for      PDS smart card coverage,qws
erode,frag
Agriculture needs a reforms package,declarative
Missing teen found dead on tracks,np_drop
Consider Farouk Irani s plea on bank accounts,qws
coimbatore,frag
Ahead of Sankranti  air and bus fares go through the roof,declarative
Looking for balance in power,np_drop
Jaya was in critical state,qws
Opposites and better halves,frag
AIADMK MLAs protest inside House,declarative
Redefining hate speech,np_drop
Enhance compensation for cyclone hit people,qws
The stuff that dreams are made of,frag
AICTE call to students on Smart India Hackathon,declarative
Reverberating melodies,np_drop
Obtain food safety permits,qws
A tale waiting to be told,frag
Aides join Lalu Prasad in Ranchi jail,declarative
Saying it in verse,np_drop
Over        set top boxes distributed to cable subscribers,qws
Voices in the city,frag
AIISH to go green with rooftop solar plant,declarative
Coming together,np_drop
Govt  should widen area to find missing fishermen,qws
Five years after Nirbhaya,frag
Alumni to join hands for facelift of schools,declarative
Over       kg of banned tobacco products seized in Salem so far,qws
Cinema with soul,frag
An amazing show of energy  vivacity,declarative
Tracing their roots from Reunion Island,np_drop
Over    pesticides banned elsewhere are still used in India,qws
Fantasty Wine,frag
An apology for roads in ward,declarative
Training for engineers in rooftop solar system,np_drop
Issue White Paper on development of HK region,qws
Cottage mela,frag
Anbumani tells govt  to shed ego  hold talks,declarative
Promote pluralism in country,qws
Hero MotoCorp XPulse,frag
Ancient iron pole renovated,declarative
Airport expansion  land losers will get fair compensation,qws
KTM     Duke,frag
APATA s plea to Ashok,declarative
People should think smart to achieve goal of Smart Cities,qws
Benelli Imperiale,frag
APGVB plans to set up    Aadhaar centres,declarative
Think beyond classroom lessons,qws
For budding brainiacs,frag
Apple urged to shield kids from iPhone addiction,declarative
U S  foolishly gave money to Pakistan,qws
KTM     Duke,frag
APSRTC  TSRTC go all out to clear Sankranti rush,declarative
I have every right to seek your mandate,qws
Benelli Imperiale,frag
A P  Yadava Yuva Bheri hails KCR,declarative
Refer National Medical Commission Bill to Standing Committee,qws
The big fight,frag
AIADMK MLAs protest inside House,declarative
Art forms emotionally integrate people,qws
Telugu to the fore,frag
Palakkad literary fest on Feb,declarative
Turnout was unbelievable,qws
Five years after Nirbhaya,frag
Palekar meets CM,declarative
Quotes,qws
Preventive measures,frag
Panel to frame rules for nomination of MLAs,declarative
,qws
Benelli Imperiale,frag
Panel to redress nurses grievances,declarative
,qws
Hero MotoCorp XPulse,frag
Pankaj does it for HP,declarative
,qws
KTM     Duke,frag
Parents allege ragging led to Odisha student s death,declarative
,qws
Smoke House Deli,frag
Parties pad up for semi finals in Rajasthan,declarative
,qws
Light House Caf,frag
Peace foundation s schools to be closed down in Kerala,declarative
,qws
Greener pastures,frag
Pedestrian  the least important species,declarative
,qws
Coastal literacy programme,frag
PETA to take rescued horses to Sangli,declarative
,qws
Cong  plans ahead in Northeast,frag
Philander swings it South Africa s way,declarative
,qws
Pilots skill put to test over city skies,declarative
,qws
RJ HC LD CONDOM ADVERTISEMENT,frag
Platform ticket price hiked for a week,declarative
,qws
Baseless  charges get DGP s goat,frag
Plea against frequent disruption of Parliament,declarative
,qws
High Court dismayed over reality chat shows,frag
PMK  VCK flay Governors address,declarative
,qws
Constable honoured,frag
PM s brother offers worship at Rameswaram,declarative
,qws
chennai namakkal,frag
Police conduct grievances redress day meeting,declarative
,qws
coimbatore,frag
Police constable held for sexual assault,declarative
,qws
Briefly,frag
Police deny permission to Mevani to hold public meet,declarative
,qws
dharmapuri,frag
Police drive to trace child labourers  missing minors,declarative
,qws
dindigul,frag
Police move to stop cockfights,declarative
,qws
erode,frag
Police relax helmet rule till month end,declarative
,qws
Suicide bid foiled,frag
Posing as potential buyer  man steals car,declarative
,qws
Art and craft workshop,frag
Post monsoon wildlife survey ends,declarative
,qws
hosur,frag
Postpone LLM exams  say students,declarative
,qws
Proposal for Institution of Eminence tag submitted,declarative
Recognise women as farmers  not labourers,qws
kancheepuram,frag
Rahul becomes IM,declarative
It turns into a den of criminals after sunset,qws
karaikudi,frag
Rahul promises new version of Congress,declarative
Submit detailed action plan for phase II of Yamuna cleaning project,qws
karur,frag
Real Madrid held  Barcelona win as Coutinho waits,declarative
Hold fresh recruitment tests for primary teachers,qws
krishnagiri,frag
Residents to form human chain,declarative
Rohingya villages destroyed,qws
Free coaching,frag
Road develops crack due to CMRL work near Tondiarpet,declarative
Out of pocket spend makes up     of healthcare costs,qws
kumbakonam,frag
Andrabi quits Mehbooba Mufti Cabinet,declarative
Farm reforms  job creation to be priority,qws
madurai,frag
Odisha urges Centre to release MGNREGS funds,declarative
Link policies to Aadhaar by March,qws
Women stage protest,frag
Peacocks found dead,declarative
Kohli   Co  can dominate the next five years,qws
Arrested,frag
On polling day  residents weigh in on the consequences of cash,declarative
No change in window for Asia Cup,qws
nagapattinam,frag
For the disabled  the booths weren t friendly,declarative
Tis the season to share,qws
nagercoil,frag
HC concern over students  suicide,declarative
I struggled to get out of character,qws
namakkal,frag
Malpractice in TNPSC Group I exams did take place  police tell court,declarative
Audiences are rejecting star power,qws
puducherry,frag
Video or not  she loomed large,declarative
We should encourage multiple voices,qws
salem,frag
CM urges HC to reject civil suit preferred by Sasikala,declarative
Telugu a vital link,qws
Tomato price nosedives,frag
Not in the loop on release of footage on Jayalalithaa  says Dhinakaran,declarative
Clearance for defence projects to be eased,qws
thanjavur,frag
Pennycuick s family to visit Mullaperiyar dam,declarative
increase in ceasefire violations,qws
Cane suppliers for  comprehensive  action,frag
Japan to provide aid for safe drinking water in Telangana,declarative
Dengue vaccine to be ready by,qws
tirucha,frag
Withdraw cases on Kudankulam protesters,qws
SSLC  online registration,frag
Man gets   year jail term for assaulting woman in Chennai,declarative
Don t delay probe into gutkha scam,qws
tirunleveli,frag
Inquilab gets Sahitya Akademi award,declarative
Water level,frag
DMK cadre hail  G case verdict,declarative
Ideals of Constitution and  Ram rajya  are same,qws
tirupur,frag
Record turnout in R K  Nagar,declarative
Display anti corruption messages in govt  offices,qws
tiruvarur,frag
Ambedkar s contribution to economy went unnoticed,qws
udhagamandalam,frag
It s not final  AIADMK,declarative
BJP wants to grow on its own in State,qws
vellore,frag
Vijay Sethupathy is  Youth Icon of the Year,declarative
Demand for AI high among experienced IT professionals,qws
Prize distribution,frag
Rao deposes before panel,declarative
Repeal cap on education allowance,qws
Syncretic tradition at Nagore dargah,frag
Divorce rates up in Coimbatore,declarative
Visa rules may pose challenges to IT sector,qws
Safety lessons for students on cyber crime,frag
Trade unions plan to increase auto fare from January,declarative
India is a wonderful example of harmony and coexistence,qws
Winged visitors,frag
Ban on palmyrah as firewood in brick kilns to tackle human elephant conflict,declarative
My stance on govt services at doorstep misconstrued,qws
Temple visit,frag
Police erect advisory hoardings for safe New Year celebrations,declarative
Instant triple talaq bill  against religious rights  Raza Academy,qws
Historical marvel,frag
Leaders pay tributes to Narayanasamy Naidu,declarative
Yemenis killed in   Saudi led air raids,qws
Piped dreams,frag
Murder accused surrenders,declarative
Bitcoin too small in India to be regulated,qws
Special trains,frag
Madurai district police introduce new app,declarative
Ashwin  Jadeja will do well abroad,qws
Christmas colours,frag
Fertilizer stock adequate  Collector,declarative
Jaipur literature fest has become commercialised,qws
power shutdown,frag
High Court stays tender notification,declarative
Spiritual evolution is individual,qws
Correction,frag
Three nursing institutes sealed,declarative
The eco system of music has to change,qws
In Coimbatore Today,frag
fishermen rescued from deep sea,declarative
Revise Kakinada master plan,qws
bengaluru,frag
Raja s acquittal sets off celebrations in Perambalur,declarative
Congress stands by the country when in crisis,qws
CAT vacation,frag
Art and crafts of India  under one roof,declarative
Submit feedback on unemployment allowance scheme,qws
Total worth of trades,frag
RERA hits property registration in Puducherry,declarative
Congress stands by the country when in crisis,qws
In Brief City F,frag
Job fair on Saturday,declarative
Organic  artisanal  slow,qws
bengaluru  shivamogga,frag
Will protest against anti farmer policies,qws
DMK failed to present an alternative in R K  Nagar,qws
chikkamagaluru,frag
BJP  AIADMK should apologise in  G case  CM,declarative
Jammu and Kashmir safe place for tourists,qws
hassan,frag
Tight security arrangements in Rameswaram,declarative
Rs    cr  award  for those who cut Hegde s tongue,qws
kalaburagi,frag
Diploma holder loses Rs        lakh,declarative
Formalise induction of nominated MLAs,qws
Nod for scouting scuba diving venues,frag
Automatic cleaning vehicle to keep bus stand clean,declarative
Schemes helped students,qws
KSIA felicitates members,frag
Murder case  life term for accused,declarative
AIADMK should sever ties with BJP,qws
mysuru,frag
Case against ex Registrar  employees of varsity,declarative
EC should ensure issue is not misused by any party,qws
Power shutdown from    a m  to   p m  today,frag
DMK celebrates acquittal of leaders,declarative
Dissolve Assembly  come face elections,qws
Elocution contest F,frag
Illegal water connections severed in panchayat,declarative
BJP creating drama over Mahadayi,qws
shivamogga F,frag
Over     of voters exercise their franchise,declarative
Youngest premature baby in State survives at Vizag hospital,qws
Shivamogga UAHS convocation today,frag
Swiss institute mathematician gets SASTRA Ramanujan award,declarative
Politicians come and go  but writers  poets live forever,qws
udupi,frag
Passenger dies as bus rams road side tree,declarative
A slight tweak in lifestyle works wonders,qws
vijayapura,frag
Be aware of rights  consumers told,declarative
Khadse welcome to join Cong,qws
ABVP shows black flag,frag
Lukewarm response to conversion of loan term,declarative
Raising funds will help spur growth,qws
yadgir,frag
Mother of judicial officer appears for enquiry,declarative
Great to have World champion tag again,qws
App launched,frag
Thuraiyur to segregate solid waste,declarative
Amazing to be part of a historic occasion,qws
engagements,frag
Cyclone damage to crops put at Rs        lakh,declarative
Alternative drugs for mild infection the way,qws
e m  manojkalpetta,frag
Tea Board seizes     lakh kg of adulterated tea,declarative
Bubble size may tell how good your wine is,qws
idukki,frag
Scrabble contest from December,declarative
A song sung brilliantly can destroy me,qws
kannur,frag
Disburse pending payments of sugarcane farmers  PMK,declarative
A song sung brilliantly can destroy me,qws
kasaragod,frag
Schoolboy found murdered near Vellore,declarative
Violence was an act of provocation,qws
kochi,frag
Virudhunagar to have    NEET centres Applications invited,declarative
Why is PM silent on Pulwama attack,qws
Navy s operational sea training organisation turns    years F,frag
Two fishermen held in Sri Lanka jump bail,declarative
Plant tattoo senser   can measure water,qws
Green clearance for cancer centre soon,frag
Stopping communal forces more important than Congress coming to power  says Siddaramaiah,declarative
Escobar was a psychopath but hero for many,qws
picture briefly,frag
Vidhana Soudha to open gates for Bengaluru Habba,declarative
I m not anyone s fangirl,qws
Media seminar on POCSO Act,frag
Govt  to recruit more teachers for the in demand Commerce stream,declarative
Plant tattoo senser   can measure water,qws
Stalked by the  Maoist  tag,frag
BBMP seeks Rs      crore to clear pending bills,declarative
Escobar was a psychopath but hero for many,qws
Coastal literacy scheme for district,frag
BMRCL to get new coaches in the last week of January,declarative
I m not anyone s fangirl,qws
Mappila academy sub centre at Vadakara,frag
Home Minister drops stadium project after residents  outrage,declarative
You have to be a good listener,qws
Brief,frag
India International Coffee Festival to be held from January,declarative
Filmmaking is war,qws
Brief,frag
Ravi Belagere granted bail,declarative
What it takes to stop a poacher,qws
malappuram,frag
Elderly couple held with gold biscuits,declarative
Stop the sequels,qws
pathanamthitta,frag
Sahitya Akademi award for Ashoka  Sreemathi,declarative
Oye Bollywood,qws
special correspondence,frag
IISc  scientists create hybrid transistor device,declarative
years and counting Chennai,qws
Promotion for police officers,frag
Yeddyurappa reads out Parrikar s letter  assures people of resolving issue,declarative
How to save a film in six weeks,qws
special correspondentpalakkad,frag
Farmers protest near BJP rally venue  taken into custody,declarative
How Cong  found its voice on social media,qws
House panel directive on civil station,frag
It s a political gimmick  H K  Patil,declarative
Son held for patricide,qws
staff reporter,frag
Farmers hold protest,declarative
Don t telecast visuals fostering tension,qws
Punish rape accused  demand progressive groups,declarative
First  complete the work on pavements,qws
Food fete at Chaithram,frag
Rangayana to hold script writing workshop from Jan,declarative
Will withhold results if colleges fail to send evaluators,qws
Power supply disruption,frag
Country s first  D Planetarium set to open next month,declarative
Water resources adequate,qws
Senior citizens p,frag
day long Karavali Utsav begins today,declarative
Spot fine of Rs      for throwing garbage in drains,qws
M Sc  results,frag
day Tulu cultural feast at Pilikula from tomorrow,declarative
Thorough study needed on medical expenditure,qws
Handicrafts fair a big draw,frag
Mistaken identity  Man detained,declarative
Bedi assures govt  of her support,qws
v m  sudheeran s Facebook post,frag
Now  a wish list for inclusion in election manifestos,declarative
Provide security to bus crew,qws
RGCB lab on Secretariat campus,frag
Demand to extend Dasara exhibition till January,declarative
Resume negotiations with striking trade unions,qws
Christmas holidays,frag
As polls draw near  farmers want parties to spell out solution to crisis,declarative
Parrikar should have written to Tribunal,qws
Christmas celebrations at anganwadi,frag
Mysuru Winter Festival to emerge as distinct brand,declarative
Durga temple laddu doesn t conform to FSSAI standards,qws
Christmas fervour,frag
Not agreeable to out of court settlement  says Parrikar,declarative
Present strategy of Maoists is not right,qws
On the warpath,frag
Udupi Parba  to focus on sports  culture  cuisine,declarative
Not inviting CM an insult to Delhiites,qws
Fight for rights,frag
Vegetable prices crash in Vijayapura,declarative
Govt  s attitude ruined half of winter session,qws
Pensioners  plight,frag
CID probe ordered into rape  murder of Dalit girl in Vijayapura,declarative
U S  tax reform may strengthen the dollar,qws
Promoting art and craft,frag
Yadgir officials told to purchase red gram,declarative
Condonation of delay scheme only for bona fide directors,qws
In memory of a doyen,frag
Helicopter joy rides in Udupi from today,declarative
Cut in GST will help promote EVs,qws
Throbbing silence,frag
RSS trying to malign me  Ramesh Jarkiholi,declarative
Can commit    bn in guarantees for India,qws
In for a makeoverF,frag
Wild elephant captured,declarative
The music has to love you too,qws
In command,frag
New library at panchayat headquarters,declarative
I had a hunch this would be special,qws
Body retrieved,frag
CPI M  Alappuzha meet from Jan    to,declarative
Vizianagaram ranks  nd in building IHHLs,qws
Kozhikode Engagements,frag
Women officers join Periyar Tiger Reserve,declarative
Passengers being taken for a ride,qws
Engagements F,frag
Local body president election on Dec,declarative
Talk on reproductive health not a taboo,qws
andhra pradeshSection,frag
Development panel meet on Dec,declarative
Empowering women is the key to economic growth,qws
bengaluru panaji,frag
Awareness programmes on online services,declarative
AP JAC will press for pensioners  demands,qws
chennai,frag
Complaint against SFI activists,declarative
English proficiency must to get a good job,qws
chittoor,frag
Works hit by dearth of quarry materials,declarative
Amaravati can dare to dream big,qws
guntur,frag
Committee to formulate coop policy,declarative
CM responsible for encounter,qws
hyderabad,frag
No grounds to bar scribes from court  Basant briefly,declarative
Ensure all tribes enjoy benefits,qws
kakinada,frag
Blockathon  begins at Maker Village,declarative
Notify judges on undertrials in prison after grant of bail,qws
kannur,frag
Confusion over allocation of land for waste to energy plant,declarative
Society must act to stop minors taking to crime,qws
High alert in Kannur after clashes,frag
Two arrested for stealing bike,declarative
WTO meet failure  India not blamed,qws
kurnool,frag
kg of gold seized,declarative
I will always be a team Margaret,qws
Red sanders seized,frag
FACT unions seek CM s help for urea plant,declarative
Audiences are rejecting only the star power,qws
briefly,frag
Navy Chief lays stress on foreign cooperation,declarative
Films are still hero centric,qws
machilipatnam,frag
Kodiyeri trains gun on corporates,declarative
I struggled to get out of character,qws
nellore,frag
More boats back  meet tomorrow on future precautions,declarative
Students need the freedom to choose,qws
Fishermen at Somasila a worried lot,frag
A street inseparably bound to the soul of Kozhikode city,declarative
Rahul Gandhi is the country s future leader,qws
Challa Yanadi ST farmers training,frag
My stand vindicated  Ramanunni,declarative
Everything is possible within Margam,qws
new delhi,frag
Panel expresses displeasure over probe into police assault cases,declarative
Music and literature are inseparable,qws
It s now Karnataka chalo for upbeat BJP leaders,frag
Tourism development a priority  Minister,declarative
Here s why I ll miss the EB office next door,qws
ongole F,frag
Pakramthalam road set to get a makeover,declarative
Let express  deluxe buses halt too,qws
Handloom expo gets under way,frag
Buggies to arrive today,declarative
Move Abiramapuram police station to a more spacious place,qws
sc or brief,frag
Murder    PFI men acquitted,declarative
Not missed a marquee player,qws
Door to door verification exercise,frag
students awarded degrees at convocation,declarative
Tennis saved me during illness,qws
Waste collection centre set up,frag
Memorial to the legend who redefined Kathakali,declarative
India should be able to deliver anywhere,qws
Unique achievement for headload worker,frag
Heavy rush continues at Sabarimala,declarative
Resist technology with rice,qws
When humans and orcs join forces,frag
Queue complexes to regulate pilgrims,declarative
I knew it was a problem,qws
The big fat biryani trip,frag
Thanka Anki to set off from Aranmula today,declarative
I ll always be team Margaret,qws
That s A bright idea,frag
Speedy aid for accident victims,declarative
Middle class is a mindset,qws
Stars shine bright,frag
SAT Hospital s cardiac unit to be upgraded,declarative
India may be a    tn economy by,qws
The Pancake Story,frag
Stop taking liquidated damages  says panel,declarative
I advised Hegde  Simha against aggressive agenda,qws
Cheaper health care with free software,declarative
Treat dismissal time as service period,qws
A V  Padma  translator of cookery book  dead,frag
Airport duty free shop raided,declarative
He was not just a poet,qws
Power shutdown today,frag
Training in flying at academy from January,declarative
Kannada to be made mandatory from Class,qws
Governor s Meenakshi temple visit,frag
Bengaluru traffic slower than Mumbai  Delhi,qws
A Training programme on bakery products,frag
US firm to make laptops in State,declarative
RSS  VHP are anti Hindu,qws
SSLC  online registration,frag
Chennithala  staff donate Rs    lakh,declarative
Take steps to implement Sadashiva Commission report,qws
Farmers pin hopes on Modi  meet meaningless  say fishers,frag
Vote TDP out of power  Jagan,declarative
CEOL will lead to creation of Silicon Valley in west coast,qws
Chikkodi bandh  seeking new district  total,frag
HC directive on Sunny Leone event,declarative
CMC should organise Udupi Utsav,qws
Medical exhibition concludes,declarative
Advaitha philosophy has solutions to all problems,qws
Decision on Shiradi Ghat s closure after inspection  says Minister Rai,frag
Jewellery showroom opened in Guntur,declarative
Kerala society has become materialistic,qws
Curbs on hoardings  cut outs go,frag
Breezy start to youth festival,declarative
Develop scientific attitude among children,qws
Plea to revise pay scale,frag
Choose between worshippers of Tipu and saints  Adityanath,declarative
Water by gravity not possible by June,qws
Collector inspects development works,frag
Telangana plans Urdu conference,declarative
Digitisation answer to most consumer woes,qws
HC stays tender notification,frag
HC dismisses plea against Pinarayi,declarative
Pranksters giving tough time to police,qws
Ensemble from A R  Rahman s school on Oscar list for best score,frag
No treasure found in excavations  Collector,declarative
Tenders for Assembly  HC soon,qws
Safety lessons for students on cyber crime,frag
Recruit more staff to meet workload  LIC employees,declarative
My main task is to develop     child friendly villages,qws
k a  shaji,frag
National sailing competitions begin,declarative
Computerised Smart On street Parking,qws
kakinada,frag
Not just dole  give us skill training  say youth,declarative
Hospital didn t have fire clearance,qws
kannur,frag
Dalit outfit demands action against Jerripothulapalem atrocity culprits,declarative
Poor implementation of development formula to blame,qws
kurnool,frag
Bommarillu case  CID files chargesheets,declarative
I m not going to make it,qws
Sports contests,frag
Hugging row  school ready for talks with boy,declarative
E way bill to boost GST compliance,qws
machilipatnam,frag
Police grill Suresh Gopi on tax evasion charges,declarative
We lost two wickets too many,qws
mangalagiri,frag
BJP lying on Mahadayi issue  CM,declarative
Not afraid of losing Sanchez,qws
nellore,frag
APPSC to conduct DSC exam from next year,declarative
Council s autonomy not affected,qws
New Delhi,frag
National rose convention from tomorrow,declarative
Land acquisition issues will be addressed by Jan  end,qws
rajanagaram  east godavari,frag
IndiGo launches flights from Rajamahendravaram,declarative
Govt  can t be adamant on workers  stir,qws
rajulapudi srinivas,frag
Students told to inculcate values,declarative
Suspicion fell on mother when she pointed to terrace,qws
staff reporter vijayawada,frag
A flyover right through college campus,declarative
Regularise or give weightage to guest teachers,qws
tirumala,frag
Improve skills using govt  scheme  youth told,declarative
Will take action against schools hiking fee,qws
tirupati,frag
CM wishes birthday boy Jagan,declarative
Rohingya killed in one month in Myanmar,qws
vijayawada,frag
Address public grievances at the earliest  CS,declarative
We need soul searching talks on development  trade,qws
New Year fete with underprivileged children,frag
Modular toilets in    municipal schools soon  says Nivas,declarative
Lighthouse projects to spur digitisation,qws
SCR cancels trains,frag
All India civil services sports events in January,declarative
It is about enjoying the process,qws
Nod for use of Central grant under PMAY,frag
Transparency lacking  say leaders,declarative
Germans pick Moscow as WC base,qws
visakhapatnam,frag
Apple imports may be permitted from Vizag,declarative
India   the motherland,qws
Highest number of drink driving cases in a day,frag
Bakers in city busy as Christmas nears,declarative
It was like a Karan Johar launch for me,qws
visakhpatnam,frag
Collector visits Agency area,declarative
I ll become a good actor someday,qws
Last date extended,frag
Letter writing contest on Jan,declarative
I pretended I was home  cooking,qws
Joy ride,frag
Officers join DCI employees  strike,declarative
My characters are like my children,qws
Star attraction,frag
Sambar fawn rescued in Vizag,declarative
The learning never ends,qws
Pillar of strength,frag
BJP seeks probe against TD leaders,declarative
A strong story to tell,qws
Labour  IMP,frag
Collector s rebuff angers MPDOs,declarative
Music and literature are inseparable,qws
telangana,frag
ISC hit by steam vent by student protests,declarative
Section,frag
Discoms spare first two domestic slabs,declarative
adilabad,frag
A rare surgery under Care,declarative
bhadradri kothagudem,frag
OU teachers shocked,declarative
Teenager electrocuted  classmate critical,frag
Renault partners with PPS motors,declarative
huzurnagar  suryapet,frag
people jailed for drunk driving,declarative
hyderabad,frag
th year of Golconda Fort to be celebrated,declarative
Walking the talk,frag
Congress rally an utter flop  TRS,declarative
Taking triple talaq by the horns,frag
Cantonment roads to be opened for public,declarative
TS among toppers in welfare spending,frag
ASI Mohan Reddy to be shifted to Warangal jail,declarative
Late night metro ride for revellers,frag
Anaemia camp held at Government High School,declarative
Nano filteration plant at Gandhi Hospital,frag
Hit by a truck  two die and three injured,declarative
New Year rush at Chilkur temple,frag
Panchayat elections planned in May,declarative
Online quiz on gallantry awards,frag
Temple superintendent arrested by ACB,declarative
NCC training camp held,frag
GITAM signs MoU with Wadhwani Foundation,declarative
Body of infant found,frag
Teachers update their skills at workshop,declarative
Sale of LED bulbs,frag
KU ranked fourth in India for sustainability efforts,declarative
Bid to loot bank,frag
TSRTC drivers gear up for Medaram jatra,declarative
kamareddy,frag
NATA rally against drug abuse in Warangal,declarative
karimnagar,frag
Ghaziabad shooting  duo yet to gain consciousness,declarative
maharajguda  k b asifabad dt,frag
Bikers punch woman  snatch phone,declarative
Traditional travel to Jangubai pilgrimage hit,frag
HC seeks location of Rohini ashram s founder,declarative
nizamabad,frag
Campaign for safety of healthcare workers in city,declarative
rajanna sircilla,frag
Taking too many selfies a medical condition  say doctors,declarative
Vemulawada pilgrim rush swells,frag
Woman gang raped  five apprehended,declarative
sangareddy,frag
Max case  family seeks CBI investigation,declarative
Power scheme for ryots launched,frag
Australian dies in expressway accident,declarative
A sight to behold,frag
G verdict  Kejriwal questions CBI s probe,declarative
new delhi,frag
Separate budget to be allocated for markets,declarative
Section,frag
DCW rescues    minor girls  trapped  in ashram,declarative
gurugram,frag
DDA to act as facilitator in land pooling policy,declarative
gurugram suicide,frag
Gold worth over Rs    crore seized at Delhi airport,declarative
new delhi,frag
Conduct verification at G B  Road brothels  Crime Branch told,declarative
Strict vigil on New Year night sees        traffic challans,frag
DMRC to conduct safety drills,declarative
noida,frag
Lawyers with chambers to get power subsidy,declarative
NCR MAN ROBBERY,frag
Woman hit by bus  dies,declarative
The encounter with T,frag
HC acts on PIL over Sainik Schools,declarative
Filmmaking is war,frag
DDA to act as facilitator in land pooling policy,declarative
Ready for the long run,frag
IPL talent hunt fraudster was with alleged match fixers,declarative
Creative minds,frag
No new playschools until facilities in place  BMC,declarative
Smoke under the bridge,frag
BMC to reopen Rs     lakh underground toilet,declarative
in brief,frag
kg beef seized in Thane  two arrested,declarative
in brief,frag
Mishaps delay Harbour Line services,declarative
Arts,frag
Sex racket  eight held    rescued,declarative
film,frag
hectares to be reclaimed to set up garden in Cuffe Parade,declarative
MUSIC,frag
crore cows  buffaloes yet to receive FMD vaccines,declarative
EXHIBITION,frag
Elephant attack leaves   dead in Odisha forest,declarative
Cuisine,frag
SAD  AAP flay Punjab govt  decision to close plants,declarative
Elegant taste,frag
Manipur Assembly demands peace agreement disclosure,declarative
Children s day,frag
Loans for employment schemes expedited,declarative
engagementsss,frag
Nagaland CMO files FIR against fake exit letter,declarative
mumbai,frag
Another BJP MLA raises banner of revolt,declarative
Section,frag
killed in S  Korea blaze,declarative
meena r  prashant navi mumbai,frag
GST  a work in progress,declarative
mumbai,frag
Jio may buy most RCom assets,declarative
More intensive care beds for Palghar,frag
Maruti Suzuki to roll out its first electric vehicle by,declarative
MH BSP CHIEF,frag
Not in favour of stock split  says MSIL s Bhargava,declarative
MH RERA CHITRA SINGH  BCM,frag
HDFC sells realty platforms to Quikr,declarative
MH HC FIRE  PETITION,frag
Centre moots home rooftop solar grants,declarative
thane,frag
Google remembers Mirza Ghalib on his    th birthday,declarative
MH TRIBUNAL COMPENSATION  LGB,frag
Crocodile walked Melbourne streets on Christmas,declarative
Final destination,frag
Delhi to start automated driving license tests in January,declarative
As the year changed,frag
India inks      mn World Bank loan for TN irrigation scheme,declarative
other states,frag
The bells still ring here,declarative
Section,frag
The world beneath the waves,declarative
betul  m p,frag
Lok Sabha passes triple talaq Bill,declarative
bhagalpur  bihar,frag
Chirala weavers go online to stay afloat,declarative
BH CAPSIZE CHILDREN,frag
Mehbooba s brother joins J K Cabinet,declarative
bhubaneswar,frag
Large number of minors held by SHE teams,declarative
Naveen at Puri,frag
Open new quarries soon  say sand lorry owners,declarative
chandigarh,frag
Prison staff to conduct Aadhaar enrolment,declarative
U P  theme State at Surajkund,frag
City sees dip in overall crime by     this year,declarative
gurugram,frag
Rajasthan doctors call off strike,declarative
hoshiarpur,frag
Bhangar witnesses violence again,declarative
PB ACCIDENT,frag
Maoist commits suicide inside SP s toilet,declarative
kolkata,frag
Opposition MPs back Kejriwal,declarative
muzaffarnagar,frag
Violence breaks out in Bhangas,declarative
UP RAPE MINOR,frag
More scientists coming back now,declarative
patna,frag
BJP moves privilege notice against Rahul,declarative
BH NITISH GREETINGS,frag
Surgical strike claims a lie  says Pakistan,declarative
press trust of india mumbai,frag
Palace Flower Show turns out to be a hit,declarative
Athawale demands inquiry,frag
Surge in ear infections this winter,declarative
pune,frag
Cyber crime gang busted,declarative
Clash mars bicentenary of Bhima Koregaon battle,frag
Prabodhini regional centre opened,declarative
raipur,frag
BJP cadre celebrate Vajpayee s birthday,declarative
shimla,frag
Innovative teacher devises a new script,declarative
special correspondent panaji,frag
MRPS activists stage rasta roko,declarative
Happiness galore,frag
